id	measurementID	measurementType	measurementValue	measurementUnit	measurementMethod	measurementRemarks
IV2013090316100935	INBO:NICHE:MEAS:P:00008711	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090316100935	INBO:NICHE:MEAS:P:00008712	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090316382285	INBO:NICHE:MEAS:P:00008713	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090316382285	INBO:NICHE:MEAS:P:00008714	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090508584498	INBO:NICHE:MEAS:P:00008780	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090508584498	INBO:NICHE:MEAS:P:00008781	coverMossesInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090508584498	INBO:NICHE:MEAS:P:00008782	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090509280656	INBO:NICHE:MEAS:P:00008794	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090509280656	INBO:NICHE:MEAS:P:00008795	coverMossesInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090509280656	INBO:NICHE:MEAS:P:00008796	coverHerbsInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510054604	INBO:NICHE:MEAS:P:00008799	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510054604	INBO:NICHE:MEAS:P:00008800	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510054604	INBO:NICHE:MEAS:P:00008801	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510080415	INBO:NICHE:MEAS:P:00008802	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510193924	INBO:NICHE:MEAS:P:00008804	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510523531	INBO:NICHE:MEAS:P:00008806	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090510560045	INBO:NICHE:MEAS:P:00008812	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511074832	INBO:NICHE:MEAS:P:00008817	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511195846	INBO:NICHE:MEAS:P:00008819	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511264022	INBO:NICHE:MEAS:P:00008821	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511360634	INBO:NICHE:MEAS:P:00008823	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511452876	INBO:NICHE:MEAS:P:00008825	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090511583306	INBO:NICHE:MEAS:P:00008829	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909190734	INBO:NICHE:MEAS:P:00008873	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909303555	INBO:NICHE:MEAS:P:00008878	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909455851	INBO:NICHE:MEAS:P:00008882	totalCoverageInPercentage	55	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909455851	INBO:NICHE:MEAS:P:00008883	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909455851	INBO:NICHE:MEAS:P:00008884	coverHerbsInPercentage	55	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090909571378	INBO:NICHE:MEAS:P:00008889	coverMossesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090910143810	INBO:NICHE:MEAS:P:00008893	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090910320327	INBO:NICHE:MEAS:P:00008902	coverMossesInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090910523353	INBO:NICHE:MEAS:P:00008906	coverMossesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090911135698	INBO:NICHE:MEAS:P:00008912	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090913433907	INBO:NICHE:MEAS:P:00008928	coverShrubsInPercentage	25	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090913433907	INBO:NICHE:MEAS:P:00008929	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090913433907	INBO:NICHE:MEAS:P:00008931	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914281148	INBO:NICHE:MEAS:P:00008938	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914281148	INBO:NICHE:MEAS:P:00008939	coverHerbsInPercentage	3	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914412862	INBO:NICHE:MEAS:P:00008940	coverShrubsInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914412862	INBO:NICHE:MEAS:P:00008941	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914412862	INBO:NICHE:MEAS:P:00008942	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914513629	INBO:NICHE:MEAS:P:00008943	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090914513629	INBO:NICHE:MEAS:P:00008944	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915001566	INBO:NICHE:MEAS:P:00008945	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915001566	INBO:NICHE:MEAS:P:00008946	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915103278	INBO:NICHE:MEAS:P:00008947	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915103278	INBO:NICHE:MEAS:P:00008948	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915131570	INBO:NICHE:MEAS:P:00008949	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915131570	INBO:NICHE:MEAS:P:00008950	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915131570	INBO:NICHE:MEAS:P:00008951	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915131570	INBO:NICHE:MEAS:P:00008952	coverHerbsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915244959	INBO:NICHE:MEAS:P:00008953	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915244959	INBO:NICHE:MEAS:P:00008954	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915244959	INBO:NICHE:MEAS:P:00008955	coverShrubsInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090915244959	INBO:NICHE:MEAS:P:00008956	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916001648	INBO:NICHE:MEAS:P:00008965	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916001648	INBO:NICHE:MEAS:P:00008966	coverShrubsInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916001648	INBO:NICHE:MEAS:P:00008967	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916001648	INBO:NICHE:MEAS:P:00008968	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916173322	INBO:NICHE:MEAS:P:00008969	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916173322	INBO:NICHE:MEAS:P:00008970	coverShrubsInPercentage	25	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916173322	INBO:NICHE:MEAS:P:00008971	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916173322	INBO:NICHE:MEAS:P:00008972	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916260490	INBO:NICHE:MEAS:P:00008973	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916260490	INBO:NICHE:MEAS:P:00008974	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916322085	INBO:NICHE:MEAS:P:00008977	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916322085	INBO:NICHE:MEAS:P:00008978	coverShrubsInPercentage	2	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916322085	INBO:NICHE:MEAS:P:00008979	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013090916322085	INBO:NICHE:MEAS:P:00008980	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091008531526	INBO:NICHE:MEAS:P:00009001	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091008531526	INBO:NICHE:MEAS:P:00009002	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009190916	INBO:NICHE:MEAS:P:00009007	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009190916	INBO:NICHE:MEAS:P:00009008	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009190916	INBO:NICHE:MEAS:P:00009009	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009385608	INBO:NICHE:MEAS:P:00009012	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009385608	INBO:NICHE:MEAS:P:00009013	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091009385608	INBO:NICHE:MEAS:P:00009014	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091013523934	INBO:NICHE:MEAS:P:00009055	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091013523934	INBO:NICHE:MEAS:P:00009056	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014075378	INBO:NICHE:MEAS:P:00009063	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014075378	INBO:NICHE:MEAS:P:00009064	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014264293	INBO:NICHE:MEAS:P:00009065	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014264293	INBO:NICHE:MEAS:P:00009066	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014433694	INBO:NICHE:MEAS:P:00009072	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014433694	INBO:NICHE:MEAS:P:00009073	coverHerbsInPercentage	95	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014550635	INBO:NICHE:MEAS:P:00009078	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091014550635	INBO:NICHE:MEAS:P:00009079	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015073587	INBO:NICHE:MEAS:P:00009084	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015073587	INBO:NICHE:MEAS:P:00009085	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015185364	INBO:NICHE:MEAS:P:00009088	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015185364	INBO:NICHE:MEAS:P:00009089	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015334417	INBO:NICHE:MEAS:P:00009092	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015334417	INBO:NICHE:MEAS:P:00009093	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015493090	INBO:NICHE:MEAS:P:00009095	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091015493090	INBO:NICHE:MEAS:P:00009096	coverHerbsInPercentage	95	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091016062841	INBO:NICHE:MEAS:P:00009099	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091016062841	INBO:NICHE:MEAS:P:00009100	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091208585526	INBO:NICHE:MEAS:P:00009104	coverShrubsInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091208585526	INBO:NICHE:MEAS:P:00009105	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091209383088	INBO:NICHE:MEAS:P:00009108	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091209383088	INBO:NICHE:MEAS:P:00009109	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091209383088	INBO:NICHE:MEAS:P:00009110	coverHerbsInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091209500778	INBO:NICHE:MEAS:P:00009111	coverShrubsInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091209500778	INBO:NICHE:MEAS:P:00009112	coverTreesInPercentage	4	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013091008531526	INBO:NICHE:MEAS:P:00014919	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092408590365	INBO:NICHE:MEAS:P:00014938	coverShrubsInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092408590365	INBO:NICHE:MEAS:P:00014939	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092409432649	INBO:NICHE:MEAS:P:00014950	coverShrubsInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092409432649	INBO:NICHE:MEAS:P:00014951	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092409481188	INBO:NICHE:MEAS:P:00014954	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092411562912	INBO:NICHE:MEAS:P:00014959	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092414232724	INBO:NICHE:MEAS:P:00014963	coverShrubsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092414232724	INBO:NICHE:MEAS:P:00014964	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092415004622	INBO:NICHE:MEAS:P:00014967	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092415004622	INBO:NICHE:MEAS:P:00014968	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092415280064	INBO:NICHE:MEAS:P:00014971	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092609001311	INBO:NICHE:MEAS:P:00015395	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092609153287	INBO:NICHE:MEAS:P:00015399	coverTreesInPercentage	85	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092609561194	INBO:NICHE:MEAS:P:00015406	coverShrubsInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092609561194	INBO:NICHE:MEAS:P:00015407	coverTreesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092610172241	INBO:NICHE:MEAS:P:00015412	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092611175681	INBO:NICHE:MEAS:P:00015416	totalCoverageInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092611330062	INBO:NICHE:MEAS:P:00015418	totalCoverageInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013092611495062	INBO:NICHE:MEAS:P:00015420	totalCoverageInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100109563209	INBO:NICHE:MEAS:P:00015442	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100110310672	INBO:NICHE:MEAS:P:00015447	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100110310672	INBO:NICHE:MEAS:P:00015448	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100110560333	INBO:NICHE:MEAS:P:00015453	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100110560333	INBO:NICHE:MEAS:P:00015454	coverMossesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100115132552	INBO:NICHE:MEAS:P:00015464	coverShrubsInPercentage	85	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100115132552	INBO:NICHE:MEAS:P:00015465	coverTreesInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100116162900	INBO:NICHE:MEAS:P:00015468	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100116162900	INBO:NICHE:MEAS:P:00015469	coverTreesInPercentage	85	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100308593004	INBO:NICHE:MEAS:P:00015472	coverShrubsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100308593004	INBO:NICHE:MEAS:P:00015473	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100309415913	INBO:NICHE:MEAS:P:00015475	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100309415913	INBO:NICHE:MEAS:P:00015476	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100309415913	INBO:NICHE:MEAS:P:00015477	coverHerbsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310221822	INBO:NICHE:MEAS:P:00015478	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310221822	INBO:NICHE:MEAS:P:00015479	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310311206	INBO:NICHE:MEAS:P:00015480	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310311206	INBO:NICHE:MEAS:P:00015482	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310550242	INBO:NICHE:MEAS:P:00015483	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310550242	INBO:NICHE:MEAS:P:00015484	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310550242	INBO:NICHE:MEAS:P:00015485	coverMossesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100310550242	INBO:NICHE:MEAS:P:00015486	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311112093	INBO:NICHE:MEAS:P:00015487	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311112093	INBO:NICHE:MEAS:P:00015488	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311112093	INBO:NICHE:MEAS:P:00015489	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311284287	INBO:NICHE:MEAS:P:00015490	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311284287	INBO:NICHE:MEAS:P:00015491	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311385184	INBO:NICHE:MEAS:P:00015492	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311385184	INBO:NICHE:MEAS:P:00015493	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311480039	INBO:NICHE:MEAS:P:00015494	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100311480039	INBO:NICHE:MEAS:P:00015495	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100709205638	INBO:NICHE:MEAS:P:00015502	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100709205638	INBO:NICHE:MEAS:P:00015503	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100709482773	INBO:NICHE:MEAS:P:00015504	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100709482773	INBO:NICHE:MEAS:P:00015505	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710184653	INBO:NICHE:MEAS:P:00015506	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710184653	INBO:NICHE:MEAS:P:00015507	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710313026	INBO:NICHE:MEAS:P:00015508	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710313026	INBO:NICHE:MEAS:P:00015509	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710465723	INBO:NICHE:MEAS:P:00015510	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710465723	INBO:NICHE:MEAS:P:00015511	coverMossesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100710465723	INBO:NICHE:MEAS:P:00015512	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711082331	INBO:NICHE:MEAS:P:00015513	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711082331	INBO:NICHE:MEAS:P:00015514	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711190067	INBO:NICHE:MEAS:P:00015515	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711190067	INBO:NICHE:MEAS:P:00015516	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711345848	INBO:NICHE:MEAS:P:00015521	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711345848	INBO:NICHE:MEAS:P:00015522	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711482006	INBO:NICHE:MEAS:P:00015523	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100711482006	INBO:NICHE:MEAS:P:00015524	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713291830	INBO:NICHE:MEAS:P:00015529	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713291830	INBO:NICHE:MEAS:P:00015530	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713291830	INBO:NICHE:MEAS:P:00015531	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713401178	INBO:NICHE:MEAS:P:00015532	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713401178	INBO:NICHE:MEAS:P:00015533	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713555002	INBO:NICHE:MEAS:P:00015534	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713555002	INBO:NICHE:MEAS:P:00015535	coverMossesInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100713555002	INBO:NICHE:MEAS:P:00015536	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714191932	INBO:NICHE:MEAS:P:00015537	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714191932	INBO:NICHE:MEAS:P:00015538	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714374734	INBO:NICHE:MEAS:P:00015539	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714374734	INBO:NICHE:MEAS:P:00015541	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714592958	INBO:NICHE:MEAS:P:00015542	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100714592958	INBO:NICHE:MEAS:P:00015543	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815340256	INBO:NICHE:MEAS:P:00015568	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815340256	INBO:NICHE:MEAS:P:00015569	coverMossesInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815340256	INBO:NICHE:MEAS:P:00015570	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815471430	INBO:NICHE:MEAS:P:00015571	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815471430	INBO:NICHE:MEAS:P:00015573	coverMossesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100815471430	INBO:NICHE:MEAS:P:00015574	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816001122	INBO:NICHE:MEAS:P:00015575	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816001122	INBO:NICHE:MEAS:P:00015576	coverShrubsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816001122	INBO:NICHE:MEAS:P:00015577	coverMossesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816001122	INBO:NICHE:MEAS:P:00015578	coverHerbsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816362343	INBO:NICHE:MEAS:P:00015579	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816362343	INBO:NICHE:MEAS:P:00015580	coverShrubsInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816362343	INBO:NICHE:MEAS:P:00015581	coverMossesInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816362343	INBO:NICHE:MEAS:P:00015582	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816493444	INBO:NICHE:MEAS:P:00015583	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816493444	INBO:NICHE:MEAS:P:00015584	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816493444	INBO:NICHE:MEAS:P:00015585	coverTreesInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013100816493444	INBO:NICHE:MEAS:P:00015586	coverMossesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
