id	coverScale	project	coverTotalInPercentage	coverTreesInPercentage	coverShrubsInPercentage	coverHerbsInPercentage	coverMossesInPercentage	treeLayerHeightInMeters	shrubLayerHeightInMeters	herbLayerHeightInCentimeters	mossesIdentified
IV2013111211372786	LondoScale	NICHE Vlaanderen				80					yes
IV2013111211491881	LondoScale	NICHE Vlaanderen				70					yes
IV2013111212012352	LondoScale	NICHE Vlaanderen				100					yes
IV2013111213541376	LondoScale	NICHE Vlaanderen		70	2	100					yes
IV2013111214085586	LondoScale	NICHE Vlaanderen		80	3	80					yes
IV2013111214242804	LondoScale	NICHE Vlaanderen		70	3	100					yes
IV2013111214581114	LondoScale	NICHE Vlaanderen				100					yes
IV2013111215221189	LondoScale	NICHE Vlaanderen			90	90					yes
IV2013111215415832	LondoScale	NICHE Vlaanderen				100					yes
IV2013111215585552	LondoScale	NICHE Vlaanderen		50		90					yes
IV2013111216175492	LondoScale	NICHE Vlaanderen				100					yes
IV2013111216330316	LondoScale	NICHE Vlaanderen				100					yes
IV2013111216445731	LondoScale	NICHE Vlaanderen				100					yes
IV2013111409215471	LondoScale	NICHE Vlaanderen		90	1	20					yes
IV2013111409362211	LondoScale	NICHE Vlaanderen				90					yes
IV2013111409442725	LondoScale	NICHE Vlaanderen				80					yes
IV2013111409572925	LondoScale	NICHE Vlaanderen				90					yes
IV2013111410070501	LondoScale	NICHE Vlaanderen				100					yes
IV2013111410140672	LondoScale	NICHE Vlaanderen				80					yes
IV2013111410204722	LondoScale	NICHE Vlaanderen				90					yes
IV2013111410293453	LondoScale	NICHE Vlaanderen				100					yes
IV2013111410431010	LondoScale	NICHE Vlaanderen				100					yes
IV2013111410523117	LondoScale	NICHE Vlaanderen				100	70			70	yes
IV2013111411054157	LondoScale	NICHE Vlaanderen				100					yes
IV2013111411133861	LondoScale	NICHE Vlaanderen				100					yes
IV2013111411265680	LondoScale	NICHE Vlaanderen				100					yes
IV2013111411424325	LondoScale	NICHE Vlaanderen				100					yes
IV2013111411542748	LondoScale	NICHE Vlaanderen				100					yes
IV2013111412052649	LondoScale	NICHE Vlaanderen				100					yes
IV2013111809311668	LondoScale	NICHE Vlaanderen									yes
IV2013111809370522	LondoScale	NICHE Vlaanderen									yes
IV2013111809461886	LondoScale	NICHE Vlaanderen									yes
IV2013111809534151	LondoScale	NICHE Vlaanderen									yes
IV2013111811552943	LondoScale	NICHE Vlaanderen									yes
IV2013111812012985	LondoScale	NICHE Vlaanderen									yes
IV2013111813082811	LondoScale	NICHE Vlaanderen									yes
IV2013111813401820	LondoScale	NICHE Vlaanderen									yes
IV2013111814185722	LondoScale	NICHE Vlaanderen									yes
IV2013111814250738	LondoScale	NICHE Vlaanderen									yes
IV2013111814325092	LondoScale	NICHE Vlaanderen									yes
IV2013111814410435	LondoScale	NICHE Vlaanderen									yes
IV2013111814482649	LondoScale	NICHE Vlaanderen									yes
IV2013111815071161	LondoScale	NICHE Vlaanderen									yes
IV2013111815202604	LondoScale	NICHE Vlaanderen									yes
IV2013111815302647	LondoScale	NICHE Vlaanderen									yes
IV2013111815485916	LondoScale	NICHE Vlaanderen									yes
IV2013111816023823	LondoScale	NICHE Vlaanderen									yes
IV2013111816160978	LondoScale	NICHE Vlaanderen									yes
IV2013111816234657	LondoScale	NICHE Vlaanderen									yes
IV2013111816321385	LondoScale	NICHE Vlaanderen								40	yes
IV2013111816375914	LondoScale	NICHE Vlaanderen								40	yes
IV2013111816475805	LondoScale	NICHE Vlaanderen								40	yes
IV2013111909171692	LondoScale	NICHE Vlaanderen	100				70			70	yes
IV2013111909275391	LondoScale	NICHE Vlaanderen	100				80			140	yes
IV2013111909505989	LondoScale	NICHE Vlaanderen	100							55	yes
IV2013111910134044	LondoScale	NICHE Vlaanderen	100							80	yes
IV2013111910243512	LondoScale	NICHE Vlaanderen	100							40	yes
IV2013111910322598	LondoScale	NICHE Vlaanderen									yes
IV2013111910405449	LondoScale	NICHE Vlaanderen									yes
IV2013111910470810	LondoScale	NICHE Vlaanderen									yes
IV2013111910522244	LondoScale	NICHE Vlaanderen									yes
IV2013111910581728	LondoScale	NICHE Vlaanderen									yes
IV2013111911053180	LondoScale	NICHE Vlaanderen									yes
IV2013111911105752	LondoScale	NICHE Vlaanderen									yes
IV2013111911195608	LondoScale	NICHE Vlaanderen									yes
IV2013111911305917	LondoScale	NICHE Vlaanderen									yes
IV2013111911394711	LondoScale	NICHE Vlaanderen									yes
IV2013111911490905	LondoScale	NICHE Vlaanderen									yes
IV2013111914132103	LondoScale	NICHE Vlaanderen									yes
IV2013111914264545	LondoScale	NICHE Vlaanderen									yes
IV2013111914523510	LondoScale	NICHE Vlaanderen									yes
IV2013111914584953	LondoScale	NICHE Vlaanderen									yes
IV2013111915115150	LondoScale	NICHE Vlaanderen									yes
IV2013111915232466	LondoScale	NICHE Vlaanderen									yes
IV2013111915304712	LondoScale	NICHE Vlaanderen									yes
IV2013111915445454	LondoScale	NICHE Vlaanderen									yes
IV2013111915514558	LondoScale	NICHE Vlaanderen									yes
IV2013111915573159	LondoScale	NICHE Vlaanderen									yes
IV2013111916051871	LondoScale	NICHE Vlaanderen									yes
IV2013111916113187	LondoScale	NICHE Vlaanderen									yes
IV2013111916233870	LondoScale	NICHE Vlaanderen									yes
IV2013111916351386	LondoScale	NICHE Vlaanderen									yes
IV2013111916402464	LondoScale	NICHE Vlaanderen									yes
IV2013111916472740	LondoScale	NICHE Vlaanderen									yes
IV2013112109262006	LondoScale	NICHE Vlaanderen									yes
IV2013112109383561	LondoScale	NICHE Vlaanderen									yes
IV2013112110000564	LondoScale	NICHE Vlaanderen									yes
IV2013112110085685	LondoScale	NICHE Vlaanderen									yes
IV2013112110141830	LondoScale	NICHE Vlaanderen									yes
IV2013112110245609	LondoScale	NICHE Vlaanderen									yes
IV2013112110364621	LondoScale	NICHE Vlaanderen									yes
IV2013112110505047	LondoScale	NICHE Vlaanderen									yes
IV2013112110591529	LondoScale	NICHE Vlaanderen									yes
IV2013112111192319	LondoScale	NICHE Vlaanderen									yes
IV2013112111373424	LondoScale	NICHE Vlaanderen									yes
IV2013112111460680	LondoScale	NICHE Vlaanderen									yes
IV2013112111520172	LondoScale	NICHE Vlaanderen									yes
IV2013112111592047	LondoScale	NICHE Vlaanderen									yes
IV2013112112073992	LondoScale	NICHE Vlaanderen									yes
IV2013112112120645	LondoScale	NICHE Vlaanderen									yes
IV2013112112184973	LondoScale	NICHE Vlaanderen									yes
IV2013112510080019	LondoScale	NICHE Vlaanderen									yes
IV2013112510182049	LondoScale	NICHE Vlaanderen									yes
IV2013112510235741	LondoScale	NICHE Vlaanderen									yes
IV2013112510310640	LondoScale	NICHE Vlaanderen									yes
IV2013112510391338	LondoScale	NICHE Vlaanderen									yes
IV2013112510455163	LondoScale	NICHE Vlaanderen									yes
IV2013112510530731	LondoScale	NICHE Vlaanderen									yes
IV2013112511000990	LondoScale	NICHE Vlaanderen									yes
IV2013112511230756	LondoScale	NICHE Vlaanderen									yes
IV2013112511301131	LondoScale	NICHE Vlaanderen									yes
IV2013112511413346	LondoScale	NICHE Vlaanderen									yes
IV2013112511543995	LondoScale	NICHE Vlaanderen									yes
IV2013112513064731	LondoScale	NICHE Vlaanderen									yes
IV2013112513490178	LondoScale	NICHE Vlaanderen									yes
IV2013112513553777	LondoScale	NICHE Vlaanderen									yes
IV2013112514020611	LondoScale	NICHE Vlaanderen									yes
IV2013112514302386	LondoScale	NICHE Vlaanderen									yes
IV2013112514355132	LondoScale	NICHE Vlaanderen									yes
IV2013112515023124	LondoScale	NICHE Vlaanderen									yes
IV2013112515112079	LondoScale	NICHE Vlaanderen									yes
IV2013112515261360	LondoScale	NICHE Vlaanderen									yes
IV2013112515474481	LondoScale	NICHE Vlaanderen				90	30				yes
IV2013112516032447	LondoScale	NICHE Vlaanderen									yes
IV2013112516140734	LondoScale	NICHE Vlaanderen									yes
IV2013112516200056	LondoScale	NICHE Vlaanderen									yes
IV2013112516253851	LondoScale	NICHE Vlaanderen									yes
IV2013112516322155	LondoScale	NICHE Vlaanderen									yes
IV2013112516390103	LondoScale	NICHE Vlaanderen									yes
IV2013112516464447	LondoScale	NICHE Vlaanderen									yes
IV2013112609022839	LondoScale	NICHE Vlaanderen									yes
IV2013112609094996	LondoScale	NICHE Vlaanderen									yes
IV2013112609205310	LondoScale	NICHE Vlaanderen									yes
IV2014022009553058	LondoScale	NICHE Vlaanderen				100					yes
IV2014052710050861	LondoScale	NICHE Vlaanderen									yes
IV2014052710133268	LondoScale	NICHE Vlaanderen									yes
IV2014052710215606	LondoScale	NICHE Vlaanderen									yes
IV2014052710272351	LondoScale	NICHE Vlaanderen									yes
IV2014052710352484	LondoScale	NICHE Vlaanderen									yes
IV2014052710492684	LondoScale	NICHE Vlaanderen									yes
IV2014052710572209	LondoScale	NICHE Vlaanderen									yes
IV2014052711344097	LondoScale	NICHE Vlaanderen									yes
IV2014052711440441	LondoScale	NICHE Vlaanderen									yes
IV2014052711532240	LondoScale	NICHE Vlaanderen									yes
IV2014052712022924	LondoScale	NICHE Vlaanderen									yes
IV2014052713365997	LondoScale	NICHE Vlaanderen									yes
IV2014052713551400	LondoScale	NICHE Vlaanderen	100			100					yes
IV2014052714094752	LondoScale	NICHE Vlaanderen	100			100					yes
IV2014052714415184	LondoScale	NICHE Vlaanderen	100			100					yes
IV2014052715061225	LondoScale	NICHE Vlaanderen	100			100					yes
